"","tanggal","brgkt","tiba"
"469",2021-07-02,4630,4905
"470",2021-07-03,2945,3604
"471",2021-07-04,3296,4264
"472",2021-07-05,1427,1260
"473",2021-07-06,1693,1871
"474",2021-07-07,1262,1679
"475",2021-07-08,1274,1701
"476",2021-07-09,1164,1578
"477",2021-07-10,1250,1851
"478",2021-07-11,1240,1862
"479",2021-07-12,1118,1340
"480",2021-07-13,893,1088
"481",2021-07-14,1026,1283
"482",2021-07-15,1146,1267
"483",2021-07-16,1070,1064
"484",2021-07-17,1114,1163
"485",2021-07-18,1300,1227
"486",2021-07-19,522,339
"487",2021-07-20,535,506
"488",2021-07-21,1088,960
"489",2021-07-22,1104,992
"490",2021-07-23,1171,1270
"491",2021-07-24,1313,1490
"492",2021-07-25,1008,1241
"493",2021-07-26,1154,1415
"494",2021-07-27,1170,1257
"495",2021-07-28,1655,1839
"496",2021-07-29,1499,1667
"497",2021-07-30,1537,1564
"498",2021-07-31,1362,1327
"499",2021-08-01,1417,1488
"500",2021-08-02,733,841
"501",2021-08-03,804,1141
"502",2021-08-04,1709,1980
"503",2021-08-05,1667,1844
"504",2021-08-06,1795,1884
"505",2021-08-07,1703,1667
"506",2021-08-08,1838,2018
"507",2021-08-09,1137,1360
"508",2021-08-10,1496,1517
"509",2021-08-11,1844,2067
"510",2021-08-12,1586,1715
"511",2021-08-13,1626,1607
"512",2021-08-14,1974,1993
"513",2021-08-15,3093,2231
"514",2021-08-16,1543,1247
"515",2021-08-17,1620,1430
"516",2021-08-18,1632,1719
"517",2021-08-19,1603,1347
"518",2021-08-20,2324,2416
"519",2021-08-21,2233,2174
"520",2021-08-22,2476,2586
"521",2021-08-23,1363,1599
"522",2021-08-24,1694,1849
"523",2021-08-25,2354,2484
"524",2021-08-26,2393,2490
"525",2021-08-27,2619,2265
"526",2021-08-28,2785,2475
"527",2021-08-29,2207,2452
"528",2021-08-30,1655,1551
"529",2021-08-31,1975,1971
"530",2021-09-01,2556,2627
"531",2021-09-02,2415,2463
"532",2021-09-03,2646,2612
"533",2021-09-04,2996,2741
"534",2021-09-05,2980,3153
"535",2021-09-06,2107,2119
"536",2021-09-07,2295,2519
"537",2021-09-08,3120,3126
"538",2021-09-09,3153,3149
"539",2021-09-10,3673,2640
"540",2021-09-11,3341,3137
"541",2021-09-12,3178,3258
"542",2021-09-13,2368,2761
"543",2021-09-14,2631,2608
"544",2021-09-15,3269,3399
"545",2021-09-16,3407,3308
"546",2021-09-17,3191,2916
"547",2021-09-18,3453,3092
"548",2021-09-19,3396,3867
"549",2021-09-20,2735,2683
"550",2021-09-21,2538,2633
"551",2021-09-22,3429,3149
"552",2021-09-23,3177,3142
"553",2021-09-24,3531,3338
"554",2021-09-25,3240,3142
"555",2021-09-26,3595,3748
"556",2021-09-27,2922,3030
"557",2021-09-28,2858,3017
"558",2021-09-29,3829,3904
"559",2021-09-30,3954,3254
"560",2021-10-01,3896,3420
"561",2021-10-02,3905,3487
"562",2021-10-03,3586,4056
"563",2021-10-04,2906,3207
"564",2021-10-05,3073,3691
"565",2021-10-06,3985,4038
"566",2021-10-07,4232,3754
"567",2021-10-08,4118,3538
"568",2021-10-09,4201,3710
"569",2021-10-10,4061,4643
"570",2021-10-11,3170,3745
"571",2021-10-12,3743,3942
"572",2021-10-13,4604,4454
"573",2021-10-14,4383,3910
"574",2021-10-15,4562,3823
"575",2021-10-16,4893,4389
"576",2021-10-17,4569,4495
