"Tanggal","ID.Prasarana","Prasarana","Penumpang.Berangkat","Penumpang.Berangkat.Domestik","Penumpang.Berangkat.Internasional","Penumpang.Tiba","Penumpang.Tiba.Domestik","Penumpang.Tiba.Internasional","Pesawat.Tiba.Domestik","Pesawat.Tiba.Internasional","Pesawat.Berangkat.Domestik","Pesawat.Berangkat.Internasional"
"2023-10-11","BPN","Sepinggan",7812,7514,298,7393,7191,202,71,3,68,4
"2023-10-12","BPN","Sepinggan",7709,7709,0,6668,6668,0,60,1,61,2
"2023-10-13","BPN","Sepinggan",7757,7621,136,6335,6154,181,63,2,59,2
"2023-10-14","BPN","Sepinggan",6160,6160,0,6607,6607,0,53,1,55,1
"2023-10-15","BPN","Sepinggan",7015,6887,128,7641,7464,177,61,3,63,2
"2023-10-16","BPN","Sepinggan",6511,6330,181,7571,7463,108,65,1,64,4
"2023-10-17","BPN","Sepinggan",6138,6138,0,6899,6899,0,56,1,55,1
"2023-10-18","BPN","Sepinggan",7552,7259,293,7421,7249,172,62,3,63,4
"2023-10-19","BPN","Sepinggan",6972,6972,0,6450,6450,0,62,1,63,1
"2023-10-20","BPN","Sepinggan",7548,7374,174,6794,6637,157,66,2,64,4
"2023-10-21","BPN","Sepinggan",5861,5858,3,6148,6148,0,52,2,51,2
"2023-10-22","BPN","Sepinggan",6330,6150,180,7668,7494,174,60,2,63,2
"2023-10-23","BPN","Sepinggan",6489,6311,178,7517,7394,123,66,1,64,3
"2023-10-24","BPN","Sepinggan",6252,6252,0,6253,6253,0,54,1,55,2
"2023-10-25","BPN","Sepinggan",7732,7437,295,7491,7269,222,64,3,62,2
"2023-10-26","BPN","Sepinggan",8761,8761,0,7314,7313,1,58,2,61,2
"2023-10-27","BPN","Sepinggan",7112,6958,154,7174,6995,179,63,2,60,2
"2023-10-28","BPN","Sepinggan",6580,6580,0,7750,7750,0,58,1,56,1
"2023-10-29","BPN","Sepinggan",6464,6290,174,6712,6544,168,52,2,53,1
"2023-10-30","BPN","Sepinggan",6836,6684,152,7966,7827,139,67,1,65,3
"2023-10-31","BPN","Sepinggan",5838,5838,0,6717,6717,0,66,1,62,2
"2023-11-01","BPN","Sepinggan",7150,6858,292,7230,6964,266,60,3,59,3
"2023-11-02","BPN","Sepinggan",7761,7761,0,6976,6976,0,63,1,61,2
"2023-11-03","BPN","Sepinggan",7879,7714,165,6496,6322,174,68,2,64,2
"2023-11-04","BPN","Sepinggan",6460,6460,0,6389,6389,0,60,1,65,3
